Date,Browns,Hubbard,Parkers,Cold,WBrSwift
2014-08-28,20.0271875,19.61897917,18.4,16.4355,18.884625
2014-08-29,17.4603125,17.832125,16.15014583,15.13335417,17.10841667
2014-08-30,17.237375,17.11314583,15.70095833,14.94635417,16.50441667
2014-08-31,19.16720833,18.65416667,16.58710417,16.30754167,17.9985625
2014-09-01,20.61802083,19.59877083,18.21916667,17.54570833,19.47116667
2014-09-02,21.37810417,20.70408333,18.5973125,17.97289583,20.1598125
2014-09-03,21.01833333,20.49485417,18.87129167,17.83722917,19.95475
2014-09-04,19.0715625,18.885125,17.346625,16.85483333,18.62597917
2014-09-05,20.07666667,19.5495625,17.5890625,17.4578125,19.08216667
2014-09-06,22.06335417,21.3811875,18.930875,18.6408125,20.69745833
2014-09-07,20.34439583,19.84752083,18.42525,17.26266667,19.39402083
2014-09-08,17.27070833,17.60275,15.95127083,15.21389583,16.95795833
2014-09-09,16.17197917,16.359,14.64747917,14.267875,15.8474375
2014-09-10,16.09702083,16.22602083,14.3903125,14.29908333,15.64735417
2014-09-11,17.0173125,16.7993125,14.92570833,14.49558333,15.86485417
2014-09-12,16.584375,16.03083333,14.77522917,13.99660417,15.38758333
2014-09-13,15.10602083,14.37172917,12.9761875,12.219375,14.053375
2014-09-14,14.23391667,13.72641667,13.1020625,11.41941667,13.36697917
2014-09-15,12.84002083,13.05522917,12.155625,10.37035417,12.50210417
2014-09-16,12.92608333,13.2751875,11.906,10.969875,12.56920833
2014-09-17,12.8616875,12.68166667,12.20616667,10.46202083,12.36085417
2014-09-18,12.4741875,12.41741667,11.829,10.3444375,12.22927083
2014-09-19,12.03054167,11.64002083,11.197375,9.778208333,11.44316667
2014-09-20,11.295,11.40320833,10.59266667,9.6131875,11.09570833
2014-09-21,14.44229167,13.7910625,12.98610417,11.86675,13.06858333
2014-09-22,15.40454167,14.26166667,14.09166667,12.43958333,13.84166667
2014-09-23,12.37429167,12.28975,11.986125,11.23847917,12.03252083
2014-09-24,12.6440625,12.45345833,11.75820833,11.38079167,12.37764583
2014-09-25,13.21870833,13.00929167,11.8369375,11.58279167,12.81691667
2014-09-26,13.6389375,13.4751875,12.5156875,11.7441875,13.5255
2014-09-27,14.23127083,13.81704167,12.9230625,12.26841667,13.97872917
2014-09-28,15.08935417,14.79895833,13.82816667,12.98020833,14.86995833
2014-09-29,15.84208333,15.3625,14.17472917,13.27779167,15.25329167
2014-09-30,15.218375,15.17314583,13.3860625,13.35158333,14.845125
2014-10-01,14.30414583,14.46804167,12.87639583,13.06927083,14.31652083
2014-10-02,13.906,14.26741667,12.76714583,12.94689583,13.91027083
2014-10-03,12.75910417,13.49283333,12.09572917,12.29460417,12.94125
2014-10-04,13.1804375,13.19416667,12.30920833,11.73277083,12.77033333
2014-10-05,12.17904167,11.73572917,11.72425,9.829916667,11.7716875
2014-10-06,10.3769375,10.22114583,10.07572917,8.540270833,10.094625
2014-10-07,12.32916667,11.4545,11.4875625,10.68114583,11.45420833
2014-10-08,14.27591667,13.09602083,12.93116667,11.60995833,13.49410417
2014-10-09,12.2718125,11.88341667,11.34472917,9.78675,11.77410417
2014-10-10,10.52433333,10.3911875,9.851208333,9.027708333,9.749979167
2014-10-11,9.8173125,9.747604167,9.211645833,8.316958333,9.273125
2014-10-12,8.680583333,8.875458333,9.357979167,7.645458333,9.047020833
2014-10-13,8.807395833,8.4055625,8.2998125,7.013541667,8.159708333
2014-10-14,12.36608333,11.006,11.110375,9.866333333,10.80689583
2014-10-15,15.21397917,13.65847917,13.05916667,12.207375,13.27197917
2014-10-16,16.6336875,15.80729167,14.77364583,13.982125,14.79902083
2014-10-17,15.83416667,15.42947917,15.1401875,12.82454167,14.61041667
2014-10-18,14.96495833,13.90233333,13.5276875,11.77422917,13.55189583
2014-10-19,12.57827083,11.65479167,11.808375,9.403666667,11.62975
2014-10-20,9.262229167,8.745791667,9.346729167,6.859333333,8.614895833
