"","SiteID","Date","Time","Date.Time","Water.Temp.C","Water.LoggerID","Water.RowID","Flag.Date.Time","Flag.Water.Temp.C","Month","Day","Year","Flag.Gross.Water.Temp.C","Flag.Spike.Water.Temp.C","Flag.RoC.Water.Temp.C","Flag.Flat.Water.Temp.C","Comment.MOD.Date.Time","RAW.Date.Time","Comment.MOD.Water.Temp.C","RAW.Water.Temp.C","ID_Full","ID_Depth","ID_DepthUnits"
"112","Ellis","2018-05-29","06:01:00","2018-05-29 06:01:00",17.249,20312702,112,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 06:01:00",NA,17.249,"Ellis~1.0m","1.0","m"
"113","Ellis","2018-05-29","07:01:00","2018-05-29 07:01:00",17.32,20312702,113,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 07:01:00",NA,17.32,"Ellis~1.0m","1.0","m"
"114","Ellis","2018-05-29","08:01:00","2018-05-29 08:01:00",17.415,20312702,114,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 08:01:00",NA,17.415,"Ellis~1.0m","1.0","m"
"115","Ellis","2018-05-29","09:01:00","2018-05-29 09:01:00",17.51,20312702,115,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 09:01:00",NA,17.51,"Ellis~1.0m","1.0","m"
"116","Ellis","2018-05-29","10:01:00","2018-05-29 10:01:00",17.582,20312702,116,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 10:01:00",NA,17.582,"Ellis~1.0m","1.0","m"
"117","Ellis","2018-05-29","11:01:00","2018-05-29 11:01:00",17.701,20312702,117,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 11:01:00",NA,17.701,"Ellis~1.0m","1.0","m"
"118","Ellis","2018-05-29","12:01:00","2018-05-29 12:01:00",17.843,20312702,118,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 12:01:00",NA,17.843,"Ellis~1.0m","1.0","m"
"119","Ellis","2018-05-29","13:01:00","2018-05-29 13:01:00",18.033,20312702,119,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 13:01:00",NA,18.033,"Ellis~1.0m","1.0","m"
"120","Ellis","2018-05-29","14:01:00","2018-05-29 14:01:00",18.247,20312702,120,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 14:01:00",NA,18.247,"Ellis~1.0m","1.0","m"
"121","Ellis","2018-05-29","15:01:00","2018-05-29 15:01:00",18.39,20312702,121,NA,"P",5,29,2018,"P","P","P","P",NA,"2018-05-29 15:01:00",NA,18.39,"Ellis~1.0m","1.0","m"
